pros,cons,overall_rating,link,tittle,author,city,state,comment,work_life_balance,compensation_benefits,job_security_advancement,Management,Culture
"[""Excellent tips if needed.""]",[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/would-certainly-work-there-again-if-decided-to-travel?id=1fe5c71b5e4e1486,Would certainly work there again if decided to travel.,Registered Nurse,Boca Raton,FL,"Excellent place to work. Help was readily available when needed. My resource person was easy to get in contact with, and provided valuable insight to a potential problem.",5.0,5.0,5.0,5.0,4.0
[],[],1.0,https://www.indeed.com/cmp/Rnnetwork/reviews/very-sad-environment?id=2054898ffe2d70ee,Very sad environment,RN Staff,Nashville,TN,"They never support their workers, it has been the worse experience in my life. I can't say anything good about this Company . Every time I had a concern, nobody gave me answers",1.0,1.0,1.0,1.0,1.0
"[""travel, good money""]","[""away from home for months""]",4.0,https://www.indeed.com/cmp/Rnnetwork/reviews/working-for-rn-network-was-a-great-experience?id=73e1d1427697e055,working for RN Network was a great experience,RN Staff Nurse/traveler,Boca Raton,FL,I worked with RN network as a traveler to different areas of the country. I never went to the actual office in Florida. Spoke with them on the phone often and had a recruiter that worked closely with me and was always there for me.,5.0,4.0,4.0,4.0,4.0
"[""medical, dental and vision coverage""]","[""couldnt always reach benefits persons or recruiter""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/staff-works-hard-to-get-you-hired?id=c7193ddf255b06dc,staff works hard to get you hired,RN,Boca Raton,FL,"staff works hard to get you hired. working at different facilities on a frequent basis gives you the opportunity to learn about new medical issues - equipment, care of specialty patients, other ancillary staff, new MD interns. Must be able to navigate in any new city they send you to and find your own accomidations if necessary. Must provide some of your own equipment to perform daily duties - O2 sat probe, stethoscope, pill cutter, pill crusher, vein finder if affordable.",5.0,5.0,2.0,4.0,3.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/good-work?id=90f245ab1a35b403,Good work,Registered Nurse,Boca Raton,FL,Solid travel company doing the best they can to offer contracts in a variety of locations with moderate pay for market competition. Recruiters are hospitable and truly care that you are happy.,5.0,5.0,5.0,5.0,5.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/na?id=5035240810b487c4,na,Registered Nurse,,,"nice company to work for. pay was great..staff members were helpful. RN network help me build my skills to become a better nurse. if I had to choose them again, I will.",5.0,5.0,5.0,5.0,5.0
[],[],3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/good-company?id=031ec4bd340622bf,Good company,STAFF RN,Boca Raton,FL,Helps you get established in your field when you are new to the area. Everyone was very helpful and nice to work with during my transition of employment.,3.0,3.0,3.0,3.0,3.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/exciting-adventure?id=528da06f372374a7,Exciting adventure,Staff Nurse,,,"Traveling was truly and adventure. Management worked with what you were looking for, housing was always great and assignments were fun and adventurous. Areas always had a lot of things to do when not working.",5.0,5.0,5.0,5.0,5.0
[],[],3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/travel-agency-work?id=235288c12ea9767f,Travel agency work,Registered Nurse,Boca Raton,FL,"Working with this travel agency was nice, my recruiter was great and handled everything in a professional manner. The travel agency found work in areas that I requested.",3.0,3.0,3.0,3.0,3.0
"[""Pay, benefits""]","[""Traveling""]",4.0,https://www.indeed.com/cmp/Rnnetwork/reviews/a-personal-and-professional-company-with-respect-for-the-staff?id=eef48eeb73efb81f,A personal and professional company with respect for the staff.,Registered Nurse,Edmond,OK,"I worked as an Acute Dialysis Nurse and the job is unpredictable as expected, many times extremely log days. It was very difficult achieving a balance with other aspects of life. The people were respectful, available and willing to work out any job related issue. The most enjoyable part of my job was the patient care and ease in working with FMS staff.",4.0,4.0,4.0,4.0,4.0
[],[],4.0,https://www.indeed.com/cmp/Rnnetwork/reviews/nice-company-to-work-for?id=66fba6d6599cf578,Nice company to work for,Registered Nurse,Greenville,SC,"Great people to work for, assignments were easy to set up, no problems with getting paid or renewing contracts. would recommend this travel company for traveling",,,,,
"[""Always supportive & day one benefits""]","[""Have \""in service\"" assignments without compensation.""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/caring-team-of-employees?id=462345109169bb0d,Caring team of employees,RN,Boca Raton,FL,All the employees are helpful & make it about the nurses. I always have the info required for my next location. Supportive all through the contract. enjoyed it.,4.0,5.0,4.0,4.0,5.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/very-professional?id=19f4f239d4f20eba,Very Professional,RN,,,Very productive at job placement. Recruiters treat nurses like family. Staff is easily available and returns calls promptly. Strives to find the best jobs with high pay rates,5.0,5.0,5.0,5.0,5.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/very-good-place-to-work-as-a-travel-nurse?id=053223a446ba4fcf,Very good place to work as a travel nurse,RN,Boca Raton,FL,RN network is always on top of things; some one is always available for help; good & very up beat people at RN Network; benifits are good along with the housing,5.0,5.0,5.0,5.0,4.0
"[""benefits, housing, helping with recertification classes, mileage reimbursement, double time for overtime pay""]",[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/awesome?id=78a595388a2249d4,Awesome,Registered Nurse,Boca Raton,FL,"My recruiter is awesome, contacting me every Monday to see how I'm doing. The supervisor is great also. I love this company. The benefit package is great too. My housing has been fantastic. The credentialing department is fantastic, finding classes for recertification.",5.0,5.0,5.0,5.0,5.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/great-job?id=94530aeec875737e,Great Job,Registered Nurse,Fredericksburg,VA,"A typical day at work was filled with cardiac issues but great teamwork and attitudes to go along with it. I learned how to become competent in a job with little training. Management and my co workers were overly helpful and were a big part of the reason that I adjusted so fast. My experience and skills with cardiac illness helped me to feel very confident, so I would have to say the hardest part was working night shift. Although I have been doing this shift for two plus years it is really beginning to take a toll on my body and I am looking to move off of this shift soon.",,,,,
"[""there when you need them, good benefits, helpful recruiters""]","[""required paperwork handlers not also accurate""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/usually-had-positions-where-i-wanted-to-travel-and-good-benefits?id=b4cc14ca9b9322cd,usually had positions where I wanted to travel and good benefits,RN,Boca Raton,FL,I worked for RNNETWORK for approximately 10 years. I found them to be readily accessible and had numerous jobs to choose from. I liked their benefits and really never had an issue with them,4.0,5.0,5.0,5.0,4.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/excellent-traveling-company?id=773bf9e8af38a781,Excellent traveling company,RN Staff Nurse,Edmond,OK,Able to communicate with coordinator as needed when events arrive.,,,,,
"[""Responsive and kind Recruiter and Client Service Manager""]",[],4.0,https://www.indeed.com/cmp/Covelo-Group/reviews/fantastic-recruiter-and-client-service-manager-who-are-very-responsive?id=8fbb831102db7b4e,Fantastic Recruiter and Client Service Manager who are very responsive.,RN,Golden,CO,"Client Services Manager met me, walked me into the facility and introduced me to the Staff that I would be working with. Questions answered and issues dealt with quickly. Each placement is different, so it is nice when the Sites have been vetted by Covelo Group prior to placing its healthcare professionals. Not a 1099 Contract company, so taxes are taken out of pay, which is a huge plus!",5.0,4.0,4.0,4.0,4.0
[],[],5.0,https://www.indeed.com/cmp/Covelo-Group/reviews/it-has-been-a-pleasure-and-i-continue-to-work-with-them?id=20d2c2fd1d737bf4,It has been a pleasure and I continue to work with them,Registered Nurse,Chicago,IL,What is the best part of working at the company? My recruiters are amazing and always work to make sure I am happy at the facility I am contracted with.  What is the most stressful part about working at the company? Haven’t had an issue yet thankfully  What is the work environment and culture like at the company? Very friendly and pro employee  What is a typical day like for you at the company? Depends where they get your contract at,,,,,
"[""Great pay, wonderful team, fast response time""]",[],5.0,https://www.indeed.com/cmp/Covelo-Group/reviews/great-support-system?id=daf8f756c72077a3,Great support system.,RN,Denver,CO,"I have enjoyed working for this company so far. They offer competitive pay, and go out of their way to get you the best pay that you deserve. The recruitment team is great at finding a position that works with my schedule and fits my family.",5.0,5.0,5.0,5.0,5.0
"[""Free lunch, great pay, benefits, stellar team""]","[""somewhat monotonous at times""]",5.0,https://www.indeed.com/cmp/Covelo-Group/reviews/covelo-group-hwl-covid-19-vaccination-clinics?id=a5ddea3c63064408,Covelo Group (HWL COVID-19 Vaccination Clinics),Registered Nurse (RN),Greeley,CO,"My experience with Covelo group has been fantastic. The job I was assigned to could not be better. They even cater us food twice a shift! The work is laid back, the expectations are clear, and my coworkers are pretty easy to get along with overall. Highly recommend.",4.0,5.0,3.0,4.0,5.0
"[""Contracted positions allow for job flexibilty""]",[],5.0,https://www.indeed.com/cmp/Covelo-Group/reviews/recruiter-works-hard-to-support-you?id=d3638ad411270f9c,Recruiter works hard to support YOU!,RN,Denver,CO,"Refreshing to work for a company who is professional and supportive of their staff! My recruiter promptly returns communications, has been quick to troubleshoot questions during onboarding process and even sent my local Covelo representative to ""meet and greet"" me on the first day of my contract with a new client. If you are confident in your profession and contract work is something you have never tried and are interested in, I highly recommend Covelo Group, my recruiter and local rep have been amazing!",4.0,4.0,3.0,5.0,5.0
[],[],3.0,https://www.indeed.com/cmp/Covelo-Group/reviews/ok-for-in-between-jobs?id=1de1d7a72ef12997,Ok for in between jobs,RN Vaccinator,San Francisco,CA,"Working with covelo was okay to start, compensation was lower than average but you get what you sign up for. Usually flexible with scheduling depeniding on the location you arr assigned to.",3.0,2.0,2.0,2.0,2.0
[],[],5.0,https://www.indeed.com/cmp/Covelo-Group/reviews/friendly-staff-smooth-onboarding-process-good-pay?id=d1acf3bced42c670,"Friendly staff, smooth onboarding process & good pay",RN,San Jose,CA,"I appreciate the opportunity Covelo Group offered me to work for a large reputable hospital in the bay area. The entire boarding process was very smooth, I was given very clear instructions every step along the way. I feel the staff members of Covelo respect their employees and treat them well.",5.0,4.0,3.0,4.0,5.0
"[""Awesome staff and reasonable pay.""]","[""No benefits""]",5.0,https://www.indeed.com/cmp/Covelo-Group/reviews/communicative-staffing-agency?id=fc9515928c2390e5,Communicative staffing agency,Registered Nurse (RN),San Francisco,CA,"As a new grad, working for Covelo has given me the opportunity to work with reputable hospitals within my area. This has helped me build connections with other coworkers and staff members, who I may use as references for future career opportunities. My recruiter was always responsive and helpful to any questions or concerns I had. The other contractors and I initially had some concerns regarding our hours, but Covelo listened and handled the issue promptly with a reasonable solution. All my coworkers have been pleasant to work with and the work culture for my assignment is positive and supportive.",5.0,5.0,4.0,4.0,4.0
[],[],3.0,https://www.indeed.com/cmp/Covelo-Group/reviews/i-liked-working-for-mga-good-company?id=d82837d826561902,"I liked working for MGA, good company",RN/Staff Nurse - Registry,Gardena,CA,"I liked working for MGA, good company, I only separated after, I found full time employment with benefits. Management was professional and fair, no problem with MGA. The work culture was fair and professional.",3.0,3.0,3.0,3.0,3.0
[],[],3.0,https://www.indeed.com/cmp/Covelo-Group/reviews/worst-job-i-ve-ever-had?id=96a4984b2d5e310c,Worst job I've ever had!,RN Staff Nurse,Addison,TX,"Very little training. Recruiters were the ""go to"" people for Nurses, not Nursing Supervisor. No pre-employment testing to assess adequate job skills for the job. And",3.0,3.0,3.0,3.0,3.0
[],[],3.0,https://www.indeed.com/cmp/Covelo-Group/reviews/company?id=0a1129d4cb5e2e0a,Company,REGISTERED NURSE,Phoenix,AZ,Registry work with contracts..You interview with families to determine if you are right fit for their home. You have to work with families schedules in order to get hours. You may have to work with multiple families.,3.0,3.0,3.0,3.0,3.0
[],[],3.0,https://www.indeed.com/cmp/Covelo-Group/reviews/n-a?id=6393a3bdece2c905,n/a,Wellness Registered Nurse (RN),San Francisco,CA,"good if you can't find a steady job, they're super nice and youll still get experience, i worked as a flu nurse so it was a good first job out of school,",2.0,1.0,1.0,1.0,1.0
"[""weekly pay""]","[""frequent cancellations""]",3.0,https://www.indeed.com/cmp/Covelo-Group/reviews/work?id=f49d758c859f211c,Work,Registered Nurse,Phoenix,AZ,Provided travel assignments at distant locations. Frequent cancellations.. Would leave assignments when Staff arrived.Would get paid for four hours when Companies had there employees arrive.,3.0,1.0,2.0,1.0,1.0
[],[],2.0,https://www.indeed.com/cmp/Covelo-Group/reviews/ok-temp-job?id=fb4248876484aacf,OK temp job,Registered Nurse,San Francisco,CA,Okay temp. job but doesn't really provide opportunity for advancement. This agency has more a sales atmosphere feel than one promoting healthcare. Some recruiters don't provide prompt follow-up for job opportunities.,5.0,2.0,2.0,2.0,2.0
[],[],3.0,https://www.indeed.com/cmp/Covelo-Group/reviews/mga?id=11bcb9f75ee32664,Mga,Registered Nurse,Colorado Springs,CO 80906,Provided direct patient and family care. Excelled with nursing skills for long term pediatric care. Coordinated assignments accordingly to meet daily goals and deadlines. Provided family support with home health care. Attended physical therapy treatments to maintain continuity of patient care. Provided flexible hours of operation.,,,,,
[],[],4.0,https://www.indeed.com/cmp/Covelo-Group/reviews/office-setting-with-many-people-at-work-nice-staff-very-calm-no-rush?id=5302c25dab649985,"Office setting with many people at work. nice staff, very calm, no rush",RN,San Francisco,CA,The work day did not involve MGA staff very much because we were sent to hospitals and were doing our job there. the staff let us work without hovering over us like other companies might,,,,,
[],[],3.0,https://www.indeed.com/cmp/Covelo-Group/reviews/very-busy-agency-with-many-helpful-employees?id=c9d9118a308053c7,Very busy agency with many helpful employees,RN,,,Very accurate and helpful. Very patient. Able to keep me busy most of the time. Handle the background paperwork for the employee which is incredibly helpful.,,,,,
"[""Lots of free tme to play with child""]","[""paper charting""]",4.0,https://www.indeed.com/cmp/Covelo-Group/reviews/caring-for-ill-children-and-encouraging-parents?id=5eefede4bc23ce23,Caring for ill children and encouraging parents,RN,Dallas,TX,"Good way to assist parent with difficulties in caring for an ill child. Low stress, high detail to the patient. Very personal in nature every shift.",3.0,2.0,3.0,3.0,2.0
[],[],3.0,https://www.indeed.com/cmp/Covelo-Group/reviews/will-get-you-work-quickly?id=7ab75abd6e954897,Will get you work quickly,Urgent Care Registered Nurse,Oakland,CA,"typical day at work: Varies with placement  What you learned: first nursing job, learned IM injection, starting IV's, performing blood draws, triage patients in an urgent care facility  Work Culture: varies depending on job placement  The hardest part of job: being flexible about job placement  The most enjoyable part of job: opportunity to explore different areas of nursing and get experience at the same time",3.0,3.0,3.0,3.0,3.0
"[""Excellent recruiters!""]","[""No benefits, no room for job advancement""]",4.0,https://www.indeed.com/cmp/Covelo-Group/reviews/positive-experience-working-with-mga-healthcare?id=fce29cb9e82e0565,Positive experience working with MGA Healthcare,RN,San Francisco,CA,"MGA Healthcare has been a fantastic experience for me so far! The recruiters that the other nurses and I have worked with/encountered have been extremely polite, responsive, and helpful. They reply to my e-mails and phone calls quickly and are always willing to listen to and address my concerns. My recruiter has also stopped by the facility we are contracted at to check up on us personally and bring us lunch/desserts. He also works closely with the facility's management to ensure that our needs, and their needs from us, are being met adequately.  Only cons are there are no benefits (that I know of) and there isn't much room for job advancement.",4.0,2.0,1.0,4.0,4.0
"[""free lunches""]","[""dont pay to re certifications""]",5.0,https://www.indeed.com/cmp/Covelo-Group/reviews/love-this-place?id=c079b399a6ad77ad,Love this place,Registered Nurse,Austin,TX,"Really great to their nurses and offer great benefits but do not offer a 401k. I love working for them,=. They really look after their nurses. Sometimes even deliver lunches to you and your patient. So easy to pick up shifts",5.0,5.0,5.0,5.0,5.0
"[""Responsive and kind Recruiter and Client Service Manager""]",[],4.0,https://www.indeed.com/cmp/Covelo-Group/reviews/fantastic-recruiter-and-client-service-manager-who-are-very-responsive?id=8fbb831102db7b4e,Fantastic Recruiter and Client Service Manager who are very responsive.,RN,Golden,CO,"Client Services Manager met me, walked me into the facility and introduced me to the Staff that I would be working with. Questions answered and issues dealt with quickly. Each placement is different, so it is nice when the Sites have been vetted by Covelo Group prior to placing its healthcare professionals. Not a 1099 Contract company, so taxes are taken out of pay, which is a huge plus!",5.0,4.0,4.0,4.0,4.0
"[""Flexible""]","[""Not a full time permanent position""]",5.0,https://www.indeed.com/cmp/Covelo-Group/reviews/awesome-starter-job?id=4b446d5d32ba7e19,Awesome starter job,Registered Nurse,San Francisco,CA,"MGA is a very good staffing agency to work for, I worked the flu shot clinic for 2014 as my very first nursing job. After the temporary position ended, I still received many calls for other positions I was qualified for. Unfortunately I had a full time job and could not further work for MGA. Definitely recommend to new nurses or nurses who may want per diem or temporary shifts.",,,,,
"[""lot of days off""]","[""lots of days off""]",5.0,https://www.indeed.com/cmp/Covelo-Group/reviews/unstable-work?id=79a5e2c0d2acf5c0,unstable work,RN,Gardena,CA,shifts were not always available making it hard to pay the bills at times,3.0,5.0,3.0,5.0,5.0
[],"[""limited available hours""]",3.0,https://www.indeed.com/cmp/Covelo-Group/reviews/this-company-was-ok-to-work-for?id=8978cd6fd50432d3,this company was ok to work for,Registered Nurse,Wethersfield,CT,This company was ok to work for but had limited facilities that is was servicing and limited number of hours that were available.,3.0,3.0,3.0,3.0,3.0
[],[],3.0,https://www.indeed.com/cmp/Covelo-Group/reviews/good-company-with-strong-values-but-poor-compensation-and-employee-retention?id=8cc419bf601cadf9,Good company with strong values but poor compensation and employee retention,Registered Nurse,Phoenix,AZ,"Below standard pay and no benefits, but the people are nice. There is no help for employees in personal crisis, however, which is unfortunate for a company with such great potential... Management is quick to respond to concerns, but sometimes slow in their resolution of issues. Although the hours are flexible, a nurse might sometimes finds his/herself without any work at all for weeks at a time.",4.0,2.0,1.0,2.0,3.0
[],[],4.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/is-interesting-and-educative?id=50922d759b9b4c37,Is interesting and educative,Registered Nurse(school based),Danbury public schools ,I haven’t started working yet but l believe it will be a good working environment. The onboarding process has been long. I still don’t have a start date yet.,3.0,3.0,3.0,3.0,3.0
[],[],1.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/unprofessional?id=f46e0562f8dfb5a4,Unprofessional,Registered Nurse,Fort Lauderdale,FL,There is no orientation. You are thrown in to the wolves They say they are there to support you but they don’t. The pay is no compatible. Director is very unprofessional and speaks to staff like a. Hild,,,,,
[],[],1.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/decent-work-life-balance?id=9abd95aada4d7289,Decent work/life balance,Registered Nurse (RN),Atlanta,GA,"You get plenty of time off which is nice, and a lot of nurses like having a schedule that matches their families schedule. They don't pay well and it's almost impossible to get a raise.",4.0,1.0,3.0,4.0,4.0
[],[],1.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/not-a-good-company-to-work-for?id=037908d3bd5ecf62,Not A good company to work for,RN School Nurse,,,The pay is Low compared to other companies and no benefits. Health insurance is a whole weeks pay. The responsibilities increase but no pay increases. Not enough staff. Late emails informing you of trainings or Covid protocol changes.,2.0,1.0,1.0,1.0,1.0
[],[],4.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/great-job-for-a-new-graduate?id=2dc3c1622b821835,Great job for a new graduate,Registered Nurse,Miami,FL,"EDU Healthcare is a very organized company, you always have someone available for you contact when needed. Flexible schedule as PRN nurse. I recommend it for a new graduate nurse or someone looking for a part time job.",,,,,
[],[],3.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/good-schedule-low-salary?id=3291733fc0e1534d,"Good schedule, low salary",RN,Miami,FL,"The positive side is a good working schedule similar to Miami Dade Public Schools Calendar. The negative side is low salary with high responsibility level. The working conditions are not the best, at least in the school where I worked.",5.0,2.0,3.0,2.0,3.0
[],[],5.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/great?id=41c3497b9aa0997f,Great,Registered Nurse,Miami,FL,"The interview and hiring process were simple, quick, and easy. The supervisors communicate and respond on time, and everyone is willing to help their employees be successful.",5.0,2.0,5.0,5.0,5.0
[],[],4.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/edu?id=f2cdfd4b254c80ef,Edu,RN,Miami,FL,"This position is great if you have a love for children. The hours are great if you are a working parent. You get holidays, weekends, and teachers work days off. The con is pay is not great at all!",4.0,1.0,1.0,1.0,
[],[],5.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/love-edu-healthcare?id=45a4cacf45ce2810,Love EDU healthcare,Rn,Miami Beach,FL,This job has very flexible hours and you can pick when and where you want to work. Nothing is pressured. Management really makes you feel like your apart of a family. All in all a great place to work,5.0,3.0,3.0,5.0,4.0
[],[],2.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/stressful-to-have-a-boss-who-doesn-t-know-and-then-demand-that-you-do-it-wrong?id=9537984d9d75e6ca,stressful to have a boss who doesn't know and then demand that you do it wrong,RN Staff Nurse,Miami,FL,"For me, it was the best company in terms of school base. Now they have a new RN director who doesn't know what she is talking about at all. Treat nurses badly, making them feel they don't know anything when she is the one who is lost. It does not matter that she is practically recently graduated but does not lie.",4.0,1.0,1.0,1.0,1.0
[],[],3.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/na?id=b7b1ec1a60b44168,Na,Registered Nurse,Leavenworth,KS,"At this company, you are your own boss. Which is nice. However, there is no support. They should let nurses meet with the families and clients to determine if it would be a good match for all parties. The termination of contract fee is harsh, because sometimes the nurse is in an impossible situation and needs to quit to save and protect his/her license.",5.0,3.0,2.0,1.0,1.0
"[""working with children, families and staff""]","[""contract position, far from home""]",3.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/temporary-position?id=a9db6297a7c7b670,temporary position,RN,Aurora,IL,"Contract position for a school in need,nice place to work, excellent office and supporting staff.Far from home to travel for work more than an hour.Working with children in a classroom setting for educational purposes was very rewarding.Hardest part was Clinical chart review of all students for immunizations and medical issues related to beginning and ending school year.",3.0,1.0,1.0,3.0,3.0
"[""Ease of on boarding process""]","[""Very long wait for paycheck""]",4.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/solid-management?id=23dde8918045491e,Solid management,Registered Nurse,Orchard Park,NY,"Just started a summer placement, so limited experience. I can say that my on boarding was quick and very efficiently completed.  I work at a summer school for special needs students, mostly teenagers. The students are the best part of my job. I truly enjoy all of my coworkers-the most dedicated and loving people in all of education.  The hardest part of the job was not having any local person to connect with prior to the first day. I just walked in as a stranger and said, ""Hi, I'm the nurse."" All the paperwork had been completed through EDUHealthcare. I just felt kind of anonymous at the start. But it is working out very well.",5.0,5.0,3.0,4.0,4.0
"[""little travel""]","[""lunch selection""]",5.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/diverse-group-of-team-members-with-outgoing-personalities?id=0b6b6c69e1bd6cbe,Diverse group of team members with outgoing personalities,Registered Nurse (RN),Chicago,IL,"A typical day as a EDU Healthcare employee, includes a positive-upbeat work environment. I have enjoyed working with other clinicians employed by EDU Healthcare and students.",5.0,4.0,5.0,5.0,5.0
"[""Easy to contact recruiters.""]","[""No PTO""]",4.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/good-work-life-balance?id=fbd800b255dcc906,Good work/life balance,Registered Nurse,Chicago,IL,"Hiring process was great! Easy to contact recruiters, very helpful. Great schools to work in! Awesome EDU gear, backpack and water bottle! Hours are good.",5.0,3.0,4.0,4.0,4.0
[],[],5.0,https://www.indeed.com/cmp/Edu-Healthcare/reviews/great-company-for-school-nursing-opportunities?id=012c345a36ff37a5,Great company for school nursing opportunities,Registered Nurse,Champaign,IL,This company contacted me very quickly after I showed interest online and from the start were extremely helpful. They make the hiring process as painless as possible.,5.0,5.0,5.0,5.0,5.0
[],[],3.0,https://www.indeed.com/cmp/Elderwood/reviews/i-liked-my-job-the-responsibilities-wages-needed-to-increase-increase?id=8e7b8be0f5f71681,"I liked my job, the responsibilities. Wages needed to increase. increase",RN,Lake Placid,NY,What is the best part of working at the company? Providing care to the residents and making their families happy with the care that their love ones received. Staff were all very dedicated.  What is the most stressful part about working at the company? Insufficient Staff ratio and and pay rates.  What is the work environment and culture like at the company? The company was new and less family oriented than the Previous Local Company.  What is a typical day like for you at the company? Very busy and tiring due to work load.,,,,,
[],[],2.0,https://www.indeed.com/cmp/Elderwood/reviews/no-team-work?id=764dc0f8967e00fd,No team work!,RN,Amherst,NY,No team work. People have their own peers and not good to the new hires. It kills your drive and passion. You have to learn things on your own if you work here.,,,,,
[],[],1.0,https://www.indeed.com/cmp/Elderwood/reviews/terrible-management?id=a7cd660979c2450f,Terrible Management,Registered Nurse,Lake Placid,NY,"Lack of quality leadership, no teamwork, high turnover, inability to retain staff, lack of basic quality care, constant resident falls, unaddressed building integrity safety issues.",1.0,1.0,1.0,1.0,1.0
[],[],4.0,https://www.indeed.com/cmp/Elderwood/reviews/better-with-time?id=50a8b8d63a46849c,Better with time,Registered Nurse,Liverpool,I have been employed at Elderwood at Liverpool for 3 years now. One of the things about Elderwood that I love is the people I work with. It has made facing all the challenges times worth it because I know that we are in this together. I also love the fact that I have been able to learn so much. I was able to advance in my career and I know that my leadership is invested in my development and career advancement.,4.0,4.0,5.0,4.0,4.0
"[""Organized environment""]","[""None""]",5.0,https://www.indeed.com/cmp/Elderwood/reviews/teamwork-was-a-pleasure?id=b51c3503a6f27302,Teamwork was a pleasure,RN Staff Nurse,Wakefield,RI,"This is a safe, clean well organized rehab and skilled nursing facility. The staff is efficient with sufficient continuing education by management. The building itself is well maintained with on-site repair and maintenance staff. All building codes with functional alarms are in place. Residents recieve polite and respectful care by the nursing staff. The hardest part of this job is keeping up with patient activities because many residents are living an active lifestyle. The most enjoyable part of any Healthcare position is providing the best of care.",5.0,5.0,5.0,5.0,5.0
[],[],2.0,https://www.indeed.com/cmp/Elderwood/reviews/ready-to-get-busy?id=07d52b3ccfb0b48e,Ready to get Busy?!?,RN Staff Nurse,Hamburg,NY,"Originally had a great team to work with, 4 out of the 8 hrs I was on duty (due to 12 hr shifts/split); Until we all became burned out mentally & physically due to short staffing & poor management. If co-workers weren't quitting, they were getting terminated. On a positive, they're pretty accommodative if u want to pick up hours (4,8,12,16).",4.0,2.0,2.0,1.0,3.0
[],[],5.0,https://www.indeed.com/cmp/Elderwood/reviews/engaged-caring-management?id=84dc1e046963efb6,"Engaged, caring management",RN,Ticonderoga,NY,"Managers are engaged and present, will work the floor as needed. Great work environment. Corporate is involved and very supportive. Good team work between departments. They provide uniforms and tuition support if you want to advance your education.",5.0,4.0,5.0,5.0,5.0
[],[],1.0,https://www.indeed.com/cmp/Elderwood/reviews/horrible-workplace?id=f17b6c9590f53f64,Horrible workplace,RN ,Wheatfield,NY,Always understaffed. The ones who do show up are completely overworked until they also start calling off. If you show that you're unsatisfied in any way and then you'll be targeted by management. Management is two faced and will throw you under the bus at any time to save themselves rather than taking some responsibility for their poor management,1.0,1.0,1.0,1.0,1.0
"[""Co-workers""]","[""None""]",5.0,https://www.indeed.com/cmp/Elderwood/reviews/nice-place-to-work?id=7373faf6adbc556c,Nice place to work,RN,Lancaster,NY,Great place with even better co-workers! Facility is clean and supplies are always accessible! Best nursing home to work at in my opinion. Would recommend to anyone as a staff member or potential resident,5.0,5.0,5.0,5.0,5.0
"[""Relationship building with patients""]","[""Untrusting environment, Poor leadership, short staffing""]",2.0,https://www.indeed.com/cmp/Elderwood/reviews/short-staffed-environment-that-lacks-leadership-and-unity-among-staff?id=1b2b996e52fa0fbb,Short staffed environment that lacks leadership and unity among staff,RN,Wakefield,RI,"Chronic short staffing. Patient to nurse ratio is 28:1 most shifts. Leaves no time for real nursing. Horrible retention rates. Scarce training yet expected to know how to do things. Clicky place that shows favoritism and turns a blind eye to those in the click. Untrusting environment that lacks departmental boundaries. Not a lot of room for growth unless you are in the click. DON has open door policy but does not address issues unless she sees them as issues. Scabies out break that was pushed under the rug until it could not be pushed under any longer. Really sad situation for the residents and patients. Saddest part is that there are some talented and caring employees that go unnoticed and unappreciated because they are not in the click. My first day on the job I walked in ready to change the world. My last day on the job I walk out feeling used, overworked, unappreciated, held back and lacking a little less faith in my profession.",1.0,3.0,1.0,1.0,1.0
